"longitude","latitude","station_name"
"966305",-95.2875,41.6403,"HARLAN 1ESE"
"966307",-105.2783,39.2203,"CHEESMAN"
"966308",-94.2006,42.5836,"FT DODGE 5NNW"
"966311",-91.0728,41.4075,"MUSCATINE"
"966313",-117.9528,36.1389,"HAIWEE"
"966314",-98.9214,41.0319,"RAVENNA"
"966315",-106.4472,44.5781,"CLEARMONT 5 SW"
"966318",-110.395,40.1678,"DUCHESNE"
"966319",-106.8383,44.8406,"SHERIDAN FLD STA"
"966320",-107.3653,43.8111,"TENSLEEP 16SSE"
"966321",-104.585,36.3628,"SPRINGER"
"966324",-104.0233,30.7053,"MT LOCKE"
"966325",-156.4286,20.8997,"KAHULUI AP"
"966326",-112.9539,38.7075,"BLACK ROCK"
"966327",-109.8675,37.1497,"MEXICAN HAT"
"966331",-93.0975,44.7178,"ROSEMOUNT RESEARCH OUTREACH C"
"966332",-94.6292,42.3969,"ROCKWELL CITY"
"966335",-110.5889,43.8567,"MORAN 5WNW"
"966336",-90.3439,45.1308,"MEDFORD"
"966337",-104.0567,38.3422,"TACONY 13 SE"
"966339",-108.7339,39.1014,"COLORADO NM"
"966344",-103.0533,42.8083,"CHADRON 3SW"
"966347",-95.0881,39.8283,"TROY 3N"
"966348",-95.3289,42.0364,"DENISON"
"966351",-103.9744,45.5489,"CAMP CROOK"
"966352",-98.3417,42.2611,"EWING"
"966353",-94.0128,41.3561,"WINTERSET 1N"
"966354",-92.9739,43.6542,"AUSTIN WWT FAC"
"966355",-97.8703,42.9919,"TYNDALL"
"966359",-109.5575,37.2825,"BLUFF"
"966360",-103.1819,35.8742,"AMISTAD 5 SSW"
"966361",-96.1558,40.1217,"PAWNEE CITY"
"966362",-111.2167,43.35,"PALISADES"
"966364",-101.5089,48.7603,"MOHALL"
"966365",-97.3633,42.8783,"YANKTON 2 E"
"966366",-94.7964,32.1808,"HENDERSON"
"966367",-112.5858,39.3375,"DELTA"
"966368",-95.5586,33.6744,"PARIS"
"966375",-89.7269,43.4583,"BARABOO"
"966376",-85.7392,38.1811,"LOUISVILLE INTL AP"
"966377",-102.0975,48.6692,"KENMARE 1 WSW"
"966378",-102.8031,38.7658,"KIT CARSON"
"966379",-107.9603,36.6669,"BLOOMFIELD 3 SE"
"966383",-100.8122,37.9931,"GARDEN CITY EXP STA"
"966385",-100.7603,46.7708,"BISMARCK"
"966386",-94.5347,45.1278,"LITCHFIELD"
"966387",-89.245,44.7511,"ROSHOLT 9 NNE"
"966390",-94.2086,46.3433,"BRAINERD"
"966391",-105.3022,46.7939,"TERRY"
"966392",-97.65,38.8,"SALINA MUNI AP"
"966393",-95.4842,37.6703,"CHANUTE MARTIN JOHNSON AP"
"966394",-91.9783,41.6403,"WILLIAMSBURG 3SE"
"966395",-111.3447,34.2325,"PAYSON"
"966397",-90.0003,43.5231,"REEDSBURG"
"966399",-92.4586,44.7303,"ELLSWORTH 1 E"
"966400",-106.9672,38.5253,"GUNNISON 3SW"
"966401",-96.1939,40.3544,"TECUMSEH 1S"
"966402",-112.4819,37.4403,"ALTON"
"966404",-104.6114,44.0928,"UPTON"
"966405",-90.1333,44.6411,"MARSHFIELD EXP FARM"
"966407",-101.8867,37.0058,"ELKHART"
"966409",-116.8164,32.8839,"EL CAPITAN DAM"
"966412",-110.4203,44.9167,"TOWER FALLS"
"966414",-111.0497,31.5678,"TUMACACORI NM"
"966415",-89.8489,45.7081,"WILLOW RSVR"
"966418",-109.4703,41.5167,"GREEN RIVER"
"966421",-143.0372,63.3336,"TOK"
"966422",-103.6367,48.1739,"WILLISTON SLOULIN INTL AP"
"966425",-116.3103,48.6928,"BONNERS FERRY"
"966427",-100.2911,48.6061,"WILLOW CITY"
"966428",-104.8061,41.1519,"CHEYENNE"
"966429",-100.6083,43.1114,"MISSION 14 S"
"966431",-104.7147,44.5833,"DEVILS TWR #2"
"966433",-91.5581,43.09,"POSTVILLE"
"966434",-110.6658,44.1333,"SNAKE RIVER"
"966435",-111.5289,40.4044,"DEER CREEK DAM"
"966436",-90.3483,44.1747,"MATHER 3 NW"
"966437",-103.8511,44.6714,"BELLE FOURCHE"
"966438",-104.7183,47.1064,"GLENDIVE"
"966439",-120.8667,37.0564,"LOS BANOS"
"966443",-103.4617,42.6656,"FT ROBINSON"
"966445",-90.0597,43.79,"MAUSTON 1 SE"
"966448",-90.3889,43.3314,"RICHLAND CTR"
"966455",-91.9364,44.8742,"MENOMONIE"
"966456",-106.7611,38.4461,"COCHETOPA CREEK"
"966461",-91.1269,45.2236,"HOLCOMBE"
"966462",-98.685,46.8844,"JAMESTOWN STATE HOSP"
"966463",-96.5928,44.0517,"FLANDREAU"
"966465",-106.9689,44.7694,"SHERIDAN CO AP"
"966466",-111.3133,42.1231,"LIFTON PUMPING STN"
"966468",-108.035,44.38,"BASIN"
"966469",-100.4489,45.5656,"MOBRIDGE 2NNW"
"966471",-92.0222,45.5333,"CUMBERLAND"
"966476",-104.6028,44.6856,"HULETT"
"966478",-96.9494,38.6656,"HERINGTON"
"966480",-93.6306,43.2844,"FOREST CITY 2 NNE"
"966481",-110.2158,48.9981,"SIMPSON 6 N WILDHORSE"
"966483",-97.5964,40.5314,"GENEVA"
"966484",-89.0592,44.3547,"WAUPACA"
"966485",-110.2878,40.3561,"ALTAMONT"
"966487",-91.5028,43.6308,"CALEDONIA"
"966489",-92.6122,44.8542,"RIVER FALLS"
"966490",-91.7719,45.4164,"RICE LAKE"
"966492",-92.9125,45.3397,"FOREST LAKE 5NE"
"966493",-93.1008,41.3247,"KNOXVILLE"
